
CAPITOLO 1 — SEZIONE F
CENSIMENTO CAPILLARE PROVINCIA PER PROVINCIA
Forza Italia / PDL / ALA / NCD / Noi Moderati / CCD / UDC / Nuovo PSI / Nuova DC
Politici coinvolti in procedimenti penali 1994–2026
Compilazione: Luigi De Michele — Aprile 2026

NOTA METODOLOGICA
La presente Sezione F completa il Capitolo 1 del censimento con i risultati della ricerca capillare condotta provincia per provincia su tutto il territorio nazionale. Questa sezione integra le Sezioni A-E (135 schede complessive già compilate) con i profili aggiuntivi emersi dalla ricerca sistematica svolta regione per regione, per un totale stimato di ulteriori 80-100 schede. Ciascun profilo è attribuito al partito di appartenenza al momento del fatto contestato. Le regioni sono elencate in ordine geografico dal Sud al Nord. Per le regioni in cui non sono emersi nomi capillari FI/PDL (Marche, Friuli Venezia Giulia, Trentino-Alto Adige, Valle d’Aosta) è riportata la dicitura “Deserto FI/PDL”.

SICILIA (9 province)
La Sicilia è la regione italiana con la più alta concentrazione di politici FI/PDL coinvolti in procedimenti penali per reati di mafia e corruzione. L’isola registra casi in tutte e nove le province, con una particolare densità a Palermo, Catania e nell’Agrigentino.

CALABRIA (5 province)
La Calabria registra un caso di eccezionale gravità istituzionale: il presidente in carica della Regione, Roberto Occhiuto (FI), indagato per corruzione nel giugno 2025. La provincia di Crotone è stata aggiornata con il caso Manica (operazione “Teorema”, marzo/aprile 2026).

CAMPANIA (5 province)

PUGLIA (6 province) — AGGIORNAMENTO COMPLETO
Provincia di Bari — Operazione Codice Interno (DDA Bari, feb. 2024)
Provincia di Lecce
Provincia di Taranto
Provincia di Foggia
Provincia BAT

BASILICATA (2 province)
L’operazione della DDA di Potenza sulla sanità lucana (ottobre 2022, oltre 100 indagati) ha colpito l’intera classe dirigente di Forza Italia in Basilicata.

LAZIO (5 province)

LOMBARDIA (12 province) — Operazione Mensa dei Poveri
L’operazione “Mensa dei Poveri” (DDA Milano, maggio 2019, 43 misure cautelari, 95 indagati) ha devastato Forza Italia in Lombardia, svelando un sistema feudale di corruzione e nomine pilotate nelle province di Milano e Varese con connessioni alla ‘ndrangheta (famiglia Molluso di Buccinasco).

VENETO (7 province) — Scandalo MOSE

LIGURIA (4 province) — Inchiesta Toti

PIEMONTE (8 province)
Il Piemonte registra un unico caso capillare rilevante per l’area FI/PDL: Roberto Rosso, la cui parabola processuale si è conclusa con l’annullamento con rinvio da parte della Cassazione nel febbraio 2025. Le province di Alessandria, Asti, Cuneo, Vercelli, Biella e VCO non hanno prodotto nomi FI/PDL specifici.

EMILIA-ROMAGNA (9 province) — Operazione Aemilia
Nel più grande processo di ‘ndrangheta al Nord (240 imputati, oltre 1.700 anni richiesti), i due politici dell’area centrodestra coinvolti sono stati entrambi non condannati: Pagliani assolto con formula piena definitiva, Bernini prescritto. Le restanti province emiliano-romagnole non hanno prodotto nomi capillari FI/PDL.

ABRUZZO (4 province)
Nell’inchiesta “Re Mida” (Procura di Pescara, 2010) erano stati coinvolti anche i senatori PDL Fabrizio Di Stefano e Paolo Tancredi, l’assessore regionale Sanità PDL Lanfranco Venturoni (arrestato), l’assessore Ambiente PDL Daniela Stati e il sindaco di Teramo PDL Maurizio Brucchi, ma tutti furono assolti nel 2018.
MOLISE (2 province)

REGIONI SENZA NOMI CAPILLARI FI/PDL
Le seguenti regioni non hanno prodotto nomi capillari FI/PDL specifici dalla ricerca provincia per provincia, pur essendo state coperte integralmente: Marche (5 province), Friuli Venezia Giulia (4 province), Trentino-Alto Adige (2 province), Valle d’Aosta (1 provincia). Per Toscana, Sardegna e Umbria la ricerca capillare non è stata ancora completata e rimane tra i pending items per la prossima sessione.

RIEPILOGO QUANTITATIVO SEZIONE F
Sicilia: 10 profili aggiuntivi. Calabria: 10 profili aggiuntivi. Campania: 9 profili aggiuntivi. Puglia: 20 profili aggiuntivi (6 province). Basilicata: 5 profili aggiuntivi. Lazio: 4 profili aggiuntivi. Lombardia: 12 profili aggiuntivi (Mensa dei Poveri). Veneto: 3 profili aggiuntivi. Liguria: 6 profili aggiuntivi (inchiesta Toti). Piemonte: 2 profili aggiuntivi. Emilia-Romagna: 2 profili (entrambi non condannati). Abruzzo: 1 profilo aggiuntivo. Molise: 1 profilo aggiuntivo.
Totale Sezione F: circa 85 profili aggiuntivi. Totale complessivo Capitolo 1 (Sezioni A-F): circa 220 schede.
Regioni ancora da completare: Toscana, Sardegna, Umbria, Trentino-Alto Adige, Valle d’Aosta.
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Iacolino Salvatore | Palermo | FI, deputato ARS | Concorso esterno mafia + corruzione, DDA Palermo mar 2026 | Indagato | In corso | Cosa Nostra
Mancuso Salvatore | Trapani | FI, deputato ARS | Voto di scambio mafioso, arrestato feb 2026 | Carcere | In corso | Mafia trapanese
Falcone Marco | Catania | FI, assessore reg. | Corruzione, rinviato a giudizio | RaG | In corso | —
D’Asero Raffaele | Catania | FI, sindaco Catania | Corruzione urbanistica | Indagato | Prescritto | —
Nicotra Salvatore | Catania | FI, cons. comunale | Corruzione | Condannato | — | —
Scapagnini Umberto | Catania | FI, sindaco Catania | Peculato, abuso d’ufficio | Condannato | — | —
Fazio Angelo | Messina | FI/PDL, cons. reg. | Voto di scambio | Condannato | — | Mafia messinese
Conticello Nicola | Catania | PDL, cons. com. | Concorso esterno | Indagato | — | Santapaola
Inferrera Giuseppe | Messina | FI, sindaco | Corruzione | Arrestato | — | —
Papania Antonino | Trapani | FI/UDC, cons. reg. | Voto scambio mafioso | Condannato | — | Mafia Castelvetr.
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Occhiuto Roberto | Cosenza | FI, pres. Regione | Corruzione, indagato giu 2025 DDA CZ | Indagato | In corso | —
Suraci Dominique | Reggio Cal. | PDL, cons. com. | Concorso esterno 416bis (op. Sistema-Assenzio) | Cond. 12a | Definitiva | 'Ndrangheta RC
Arena Nicola | Crotone | FI, sindaco Isola C.R. | 416bis, corruzione | Arrestato | — | Arena
Nicolò Alessandro | Reggio Cal. | FdI (ex FI), cons. reg. | 416bis (op. Libro Nero) DDA RC | Carcere | Processo | Cosca Libri
Tripodi Gianni | Vibo Valentia | FI/PDL, cons. reg. | Concorso esterno | Indagato | — | Mancuso
Talarico Francesco | Catanzaro | UDC, cons. reg. | Corruzione, peculato | Cond. 5a | — | —
Daffinà Francesco | Vibo Valentia | PDL, cons. com. | Corruzione appalti | Arrestato | — | —
Stillitani Giuseppe | Vibo Valentia | FI, assessore reg. | Abuso d’ufficio | Indagato | — | —
Manica Fabio | Crotone | FI, cons. com./pres. Prov. | Corruzione appalti (op. Teorema mar 2026) | Indagato | In corso | —
Rizzuti Antonio | Cosenza | FI, cons. com. | Corruzione | Indagato | — | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Guida Giuseppe | Caserta (Arienzo) | FI, sindaco/coord. prov. | Corruzione appalti rifiuti, DDA NA set 2025 | Domiciliari | In corso | Casalesi (tramite Ferraro)
Zannini Giovanni | Caserta | FI, cons. regionale | Corruzione + voto scambio, chiesto arresto gen 2026 | Indagato | In corso | —
Coppola Massimo | Napoli (Sorrento) | NCD/PDL, sindaco | Induzione indebita, flagranza mag 2025, tangente 6.000€ | Carcere | In corso | —
Sommese Pasquale | Napoli | NCD, ex cons. reg. | Corruzione (op. Queen nov 2024, 69 misure) | Arrestato | In corso | Clan casertani
Biondo Giuseppe | Napoli | FI, cons. com. | Corruzione, riciclaggio | Arrestato | — | Camorra
Poziello Luigi | Caserta (Giugliano) | FI, sindaco | Corruzione, sciolto per camorra | Arrestato | — | Mallardo
Griffo Pasquale | Avellino | UDC, cons. reg. | Corruzione | Condannato | — | —
Zagaria Fortunato | Caserta | FI/PDL, cons. com. | Corruzione | Condannato | — | Casalesi
Consoli Gabriele | Salerno | PDL, cons. com. | Corruzione appalti | Condannato | — | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Olivieri Giacomo | Bari | Centrodestra, ex cons. reg. | Scambio elett. politico-mafioso + estorsione (op. Codice Interno) | Carcere | Cond. 9a (sett. 2025) | Parisi-Palermiti + Strisciuglio + Montani
Lorusso Maria Carmen | Bari | Centrodestra, cons. com. | Scambio elett. politico-mafioso | Domiciliari | Rito ordinario in corso | Parisi-Palermiti
Lorusso Vito | Bari | Oncologo (padre) | Concussione + peculato (17 pazienti) | Domiciliari | In corso | —
Nacci Michele | Bari | Centrodestra | Partecipazione assoc. per voti | Cond. 4a 4m | Primo grado | Parisi-Palermiti
Ferri Francesca | Bari (Valenzano) | Centrodestra, cons. com. | Scambio elett. politico-mafioso (2022) | Arrestata | Processo ordinario | Buscemi/Parisi
Donatelli Antonio | Triggiano (BA) | Centrodestra, sindaco | Corruzione elettorale (apr 2024) | Domiciliari | In corso | —
